"Rank","Player","Year","Pos","Team","AAV",""
"","Philip Tomasino","2023","C","NSH","$1,066,667",""
"","William Eklund","2023","LW","SJS","$1,775,000",""
"","Thomas Harley","2023","D","DAL","$1,350,000",""
"","Moritz Seider","2023","D","DET","$1,775,000",""
"","John-Jason Peterka","2023","C","BUF","$925,000",""
"","Akira Schmid","2023","G","NJD","$925,000",""
"","Juuso Parssinen","2023","C","NSH","$925,000",""
"","Zach Bogosian","2023","D","TBL","$850,000",""
"","Urho Vaakanainen","2023","D","ANA","$850,000",""
"","Sam Carrick","2023","C","ANA","$850,000",""
"","Ben Hutton","2023","D","VGK","$850,000",""
"","Jamieson Rees","2023","C","CAR","$925,000",""
"","Ukko-Pekka Luukkonen","2023","G","BUF","$837,500",""
"","Jake Neighbours","2023","LW","STL","$925,000",""
"","Mark Kastelic","2023","C","OTT","$835,000",""
"","Arber Xhekaj","2023","D","MTL","$828,333",""
"","Sebastian Aho","2023","D","NYI","$825,000",""
"","Dakota Joshua","2023","C","VAN","$825,000",""
"","Pierre-Olivier Joseph","2023","D","PIT","$825,000",""
"","Nick Blankenburg","2023","D","CBJ","$825,000",""
"","Alexander Alexeyev","2023","D","WAS","$825,000",""
"","Zachary Jones","2023","D","NYR","$812,500",""
"","Michael Pezzetta","2023","C","MTL","$812,500",""
"","Kyle MacLean","2023","LW","NYI","$800,000",""
"","Samuel Bolduc","2023","D","NYI","$800,000",""
"","Ryan Lomberg","2023","LW","FLA","$800,000",""
"","Jimmy Vesey","2023","LW","NYR","$800,000",""
"","Michael Eyssimont","2023","C","TBL","$800,000",""
"","Mark Giordano","2023","D","TOR","$800,000",""
"","Reese Johnson","2023","RW","CHI","$800,000",""
"","Mackenzie Entwistle","2023","RW","CHI","$800,000",""
"","Connor Dewar","2023","C","MIN","$800,000",""
"","Chad Ruhwedel","2023","D","PIT","$800,000",""
"","Thomas Novak","2023","C","NSH","$800,000",""
"","Nicholas Robertson","2023","LW","TOR","$850,000",""
"","Vasili Ponomarev","2023","C","CAR","$853,333",""
"","Kaedan Korczak","2023","D","VGK","$925,000",""
"","Ben Harpur","2023","D","NYR","$787,500",""
"","Wade Allison","2023","RW","PHI","$785,000",""
"","David Gustafsson","2023","C","WPG","$775,000",""
"","Hudson Fasching","2023","RW","NYI","$775,000",""
"","Nathan Walker","2023","LW","STL","$775,000",""
"","Zac Dalpe","2023","C","FLA","$775,000",""
"","Frederik Olofsson","2023","LW","COL","$775,000",""
"","Felix Sandstrom","2023","G","PHI","$775,000",""
"","Nick Seeler","2023","D","PHI","$775,000",""
"","Guillaume Brisebois","2023","D","VAN","$775,000",""
"","Phillip di Giuseppe","2023","LW","VAN","$775,000",""
"","Brett Leason","2023","RW","ANA","$775,000",""
"","Alexander Nylander","2023","RW","PIT","$775,000",""
"","Paul Cotter","2023","C","VGK","$775,000",""
"","Liam O'Brien","2023","C","ARI","$775,000",""
"","Michael McCarron","2023","RW","NSH","$775,000",""
"","Kiefer Sherwood","2023","LW","NSH","$775,000",""
"","Cole Smith","2023","LW","NSH","$775,000",""
"","Joseph Woll","2023","G","TOR","$766,667",""
"","Johnathan Kovacevic","2023","D","MTL","$766,667",""
"","Logan Thompson","2023","G","VGK","$766,667",""
"","Jaycob Megna","2023","D","SEA","$762,500",""
"","Austin Czarnik","2023","C","DET","$762,500",""
"","Kyle Capobianco","2023","D","WPG","$762,500",""
"","Vincent Desharnais","2023","D","EDM","$762,500",""
"","Markus Niemelainen","2023","D","EDM","$762,500",""
"","Calle Rosen","2023","D","STL","$762,500",""
"","Dennis Gilbert","2023","D","CGY","$762,500",""
"","Adam Ruzicka","2023","C","CGY","$762,500",""
"","Haydn Fleury","2023","D","TBL","$762,500",""
"","Jalen Chatfield","2023","D","CAR","$762,500",""
"","Darren Raddysh","2023","D","TBL","$762,500",""
"","Stefan Noesen","2023","RW","CAR","$762,500",""
"","Parker Kelly","2023","C","OTT","$762,500",""
"","Tanner Laczynski","2023","C","PHI","$762,500",""
"","Sheldon Dries","2023","C","VAN","$762,500",""
"","Jack Studnicka","2023","C","VAN","$762,500",""
"","Colton White","2023","D","ANA","$762,500",""
"","Chris Wideman","2023","D","MTL","$762,500",""
"","Liam Foudy","2023","C","CBJ","$762,500",""
"","Michael Amadio","2023","C","VGK","$762,500",""
"","Jacob MacDonald","2023","D","SJS","$762,500",""
"","A.J. Greer","2023","LW","BOS","$762,500",""
"","Boris Katchouk","2023","LW","CHI","$758,333",""
"","Taylor Raddysh","2023","RW","CHI","$758,333",""
