"Rank","Player","Year","Pos","Team","AAV",""
"","Charles Leno","2023","LT","WAS","$12,333,333",""
"","Ryan Kelly","2023","C","IND","$12,500,000",""
"","Trenton Brown","2023","LT","NE","$6,500,000",""
"","Denzel Ward","2023","CB","CLE","$20,100,000",""
"","Quenton Nelson","2023","G","IND","$20,000,000",""
"","Harrison Smith","2023","FS","MIN","$16,000,000",""
"","Darius Slay","2023","CB","PHI","$14,000,000",""
"","Marshon Lattimore","2023","CB","NO","$19,520,600",""
"","Devin White","2023","ILB","TB","$7,328,954",""
"","Kendall Fuller","2023","CB","WAS","$10,000,000",""
"","Joe Burrow","2023","QB","CIN","$9,047,534",""
"","Montez Sweat","2023","DE","WAS","$2,910,315",""
"","Christian Kirk","2023","WR","JAC","$18,000,000",""
"","Mitch Morse","2023","C","BUF","$9,750,000",""
"","Evan Engram","2023","TE","JAC","$11,345,000",""
"","Duane Brown","2023","LT","NYJ","$10,000,000",""
"","Corey Davis","2023","WR","NYJ","$12,500,000",""
"","James Daniels","2023","G","PIT","$8,833,333",""
"","Calvin Ridley","2023","WR","JAC","$2,725,178",""
"","Ryan Ramczyk","2023","RT","NO","$19,200,000",""
"","Tim Patrick","2023","WR","DEN","$11,333,333",""
"","Tyler Lockett","2023","WR","SEA","$17,250,000",""
"","Zack Martin","2023","G","DAL","$14,000,000",""
"","Terry McLaurin","2023","WR","WAS","$22,788,000",""
"","Marquez Valdes-Scantling","2023","WR","KC","$10,000,000",""
"","Chase Young","2023","DE","WAS","$8,640,899",""
"","Josh Allen","2023","OLB","JAC","$5,685,660",""
"","Rashan Gary","2023","OLB","GB","$3,969,328",""
"","Laken Tomlinson","2023","G","NYJ","$13,333,333",""
"","Grover Stewart","2023","DT","IND","$10,250,000",""
"","B.J. Hill","2023","DT","CIN","$10,000,000",""
"","Jason Kelce","2023","C","PHI","$14,250,000",""
"","Jaire Alexander","2023","CB","GB","$21,000,000",""
"","Christian Wilkins","2023","DT","MIA","$3,859,775",""
"","Micah Hyde","2023","FS","BUF","$9,625,000",""
"","Davon Godchaux","2023","DT","NE","$10,400,000",""
"","Orlando Brown Jr.","2023","LT","CIN","$16,023,000",""
"","Tyler Boyd","2023","WR","CIN","$10,750,000",""
"","Andrew Thomas","2023","LT","NYG","$8,086,397",""
"","Brandon Scherff","2023","G","JAC","$16,500,000",""
